CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Flag,Latest Date?
Aruba,ABW,,,NAT_TOTAL,20201221,0,,0,,1,1,3,1,0,,1,1,0,,1,1,0,2,0,0,2,1,2,1,0,0,3,1,0,,,5176,47,31.48,31.48,36.43,36.43,40,40,36.54,36.54,62.5,62.5,FALSE,20201221
Afghanistan,AFG,,,NAT_TOTAL,20201220,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,3,1,0,0,3,1,0,,,49817,2067,8.33,8.33,13.1,13.1,20,20,23.08,23.08,0,0,FALSE,20201220
Angola,AGO,,,NAT_TOTAL,20210104,2,1,2,1,1,1,3,1,1,1,1,1,1,1,4,0,,0,0,0,2,1,2,0,0,0,3,1,0,,,17684,408,65.74,65.74,80.48,80.48,48.89,48.89,56.41,56.41,0,0,FALSE,20210104
Albania,ALB,,,NAT_TOTAL,20210102,1,1,2,1,2,1,4,1,0,,2,1,0,,3,1,1,1,0,0,2,1,2,2,0,0,4,1,0,,,58991,1190,60.19,60.19,67.86,67.86,60.56,60.56,62.18,62.18,50,50,FALSE,20210102
Andorra,AND,,,NAT_TOTAL,20210104,1,1,2,1,2,1,4,0,1,1,0,,0,,1,2,1,2,0,0,2,1,3,2,0,0,3,1,0,,,8249,84,51.39,51.39,59.52,59.52,62.5,62.5,56.73,56.73,100,100,FALSE,20210104
United Arab Emirates,ARE,,,NAT_TOTAL,20210108,1,1,1,1,2,1,4,1,0,,0,,1,0,2,0,,2,,0,2,1,3,2,0,,3,1,4,1,,,,49.07,49.07,54.76,54.76,59.78,59.78,61.28,61.28,50,50,FALSE,20210108
Argentina,ARG,,,NAT_TOTAL,20210104,3,1,2,0,2,1,4,0,2,0,2,0,2,0,3,1,1,2,0,0,2,1,2,2,0,0,3,1,1,1,,1648940,43634,79.17,79.17,79.76,79.76,74.94,74.94,74.94,74.94,75,75,FALSE,20210104
Australia,AUS,,,NAT_TOTAL,20210107,1,0,3,0,2,0,4,0,1,0,2,0,2,0,3,1,1,2,0,0,2,1,3,2,0,0,2,0,0,,,28571,909,65.28,65.28,65,65,65,65,63.46,63.46,75,75,FALSE,20210107
Azerbaijan,AZE,,,NAT_TOTAL,20201228,3,1,3,0,2,1,4,1,1,1,2,0,2,0,4,1,0,0,0,0,2,1,2,2,0,0,4,1,0,,,215483,2538,84.26,84.26,86.9,86.9,70,70,78.85,78.85,12.5,12.5,FALSE,20201228
Burundi,BDI,,,NAT_TOTAL,20210104,1,1,0,,0,,0,,0,,0,,0,,2,1,0,1,0,0,1,1,1,1,0,0,1,1,0,,,842,2,14.81,14.81,23.81,23.81,21.11,21.11,18.59,18.59,37.5,37.5,FALSE,20210104
Belgium,BEL,,,NAT_TOTAL,20210107,1,1,2,1,2,1,4,1,0,,1,1,1,1,3,2,1,2,0,0,2,1,2,2,0,0,3,0,2,1,,658655,19936,62.04,62.04,66.67,66.67,68.5,68.5,63.65,63.65,100,100,FALSE,20210107
Benin,BEN,,,NAT_TOTAL,20210104,1,1,1,1,1,1,3,1,0,,0,,0,,1,2,0,1,0,0,2,1,1,2,0,0,4,1,0,,,3251,44,35.19,35.19,43.57,43.57,45,45,42.31,42.31,62.5,62.5,FALSE,20210104
Burkina Faso,BFA,,,NAT_TOTAL,20210104,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,3,2,0,0,3,1,0,,,7126,86,13.89,13.89,17.86,17.86,26.67,26.67,30.77,30.77,0,0,FALSE,20210104
Bangladesh,BGD,,,NAT_TOTAL,20201213,3,1,3,0,2,0,4,0,2,0,2,0,2,0,3,0,,2,0,0,2,1,2,1,0,0,4,1,0,,,490533,7052,80.09,80.09,80.48,80.48,69.17,69.17,72.12,72.12,50,50,FALSE,20201213
Bulgaria,BGR,,,NAT_TOTAL,20210103,3,1,2,1,2,1,3,1,0,,0,,0,,3,2,0,1,0,0,2,1,1,2,0,0,3,1,1,1,,203051,7678,57.41,57.41,64.29,64.29,58,58,57.31,57.31,62.5,62.5,FALSE,20210103
Bahrain,BHR,,,NAT_TOTAL,20210104,1,1,2,1,2,1,4,1,0,,1,1,0,,1,2,0,2,0,0,2,1,3,2,0,0,3,1,5,1,,93766,352,50.93,50.93,57.14,57.14,67.22,67.22,64.1,64.1,87.5,87.5,FALSE,20210104
Bahamas,BHS,,,NAT_TOTAL,20210104,,,,,,,,,1,1,2,0,,,,,,,,,,,,,,,,,,,,7924,175,,56.94,,55.48,,53.61,,55.45,,,FALSE,20210104
Bosnia and Herzegovina,BIH,,,NAT_TOTAL,20210106,2,0,1,1,1,1,3,1,0,,2,0,0,,1,0,,0,0,0,2,1,2,0,0,0,3,1,0,,,113392,4211,42.59,42.59,50.71,50.71,35,35,40.38,40.38,0,0,FALSE,20210106
Belarus,BLR,,,NAT_TOTAL,20201228,0,,0,,1,1,0,,0,,0,,0,,4,0,,0,0,0,2,1,3,2,0,,3,0,0,,,188588,1394,27.78,27.78,38.1,38.1,34.17,34.17,39.42,39.42,0,0,FALSE,20201228
Belize,BLZ,,,NAT_TOTAL,20210103,3,1,2,1,2,1,4,1,1,1,1,1,2,0,1,1,0,2,0,0,2,1,2,2,0,0,3,1,0,,,10901,250,72.22,72.22,76.19,76.19,67.78,67.78,68.59,68.59,62.5,62.5,FALSE,20210103
Bermuda,BMU,,,NAT_TOTAL,20210106,3,1,,,,,,,0,,,,,,,1,0,0,0,0,2,1,3,2,0,0,2,1,0,,,632,11,,53.7,,64.29,,50.56,,56.41,12.5,12.5,FALSE,20210106
Bolivia,BOL,,,NAT_TOTAL,20210103,3,1,2,1,1,1,0,,0,,1,1,1,1,3,1,1,0,0,0,2,1,1,1,0,0,4,1,0,,,162661,9201,52.78,52.78,69.05,69.05,47.22,47.22,50.64,50.64,25,25,FALSE,20210103
Brazil,BRA,,,NAT_TOTAL,20201228,,,3,0,2,0,4,0,0,,2,0,,,,,,,,,,,,,,,,,,,,7504833,191570,,,,,,,,,,,FALSE,20201228
Barbados,BRB,,,NAT_TOTAL,20210103,1,1,1,1,2,1,4,1,1,1,2,1,0,,2,1,0,1,0,0,2,1,2,2,0,0,2,1,0,,,556,7,59.26,59.26,70.24,70.24,55,55,57.69,57.69,37.5,37.5,FALSE,20210103
Brunei,BRN,,,NAT_TOTAL,20201221,1,1,1,1,1,1,2,1,0,,0,,0,,2,0,,2,0,0,2,1,3,2,0,0,2,1,0,,,152,3,35.19,35.19,45.24,45.24,44.44,44.44,43.59,43.59,50,50,FALSE,20201221
Bhutan,BTN,,,NAT_TOTAL,20201222,3,1,3,0,2,0,4,0,2,0,2,1,2,0,3,1,1,2,0,0,2,1,2,2,0,0,4,1,0,,,479,0,81.94,81.94,81.67,81.67,76.94,76.94,77.24,77.24,75,75,FALSE,20201222
Botswana,BWA,,,NAT_TOTAL,20210108,1,1,1,1,1,1,3,1,0,,2,1,2,1,1,0,,0,0,0,2,1,2,2,0,0,4,1,0,,,,,53.7,53.7,57.86,57.86,50,50,57.69,57.69,0,0,FALSE,20210108
Central African Republic,CAF,,,NAT_TOTAL,20201222,0,,0,,0,,0,,0,,1,1,0,,2,1,1,1,0,0,2,1,1,1,0,0,3,1,0,,,4936,63,20.37,20.37,28.57,28.57,29.44,29.44,26.28,26.28,50,50,FALSE,20201222
