CountryName,Date,StringencyIndexForDisplay
Aruba,20201221,31.48
Afghanistan,20201220,8.33
Angola,20210104,65.74
Albania,20210102,60.19
Andorra,20210104,51.39
United Arab Emirates,20210108,49.07
Argentina,20210104,79.17
Australia,20210107,65.28
Azerbaijan,20201228,84.26
Burundi,20210104,14.81
Belgium,20210107,62.04
Benin,20210104,35.19
Burkina Faso,20210104,13.89
Bangladesh,20201213,80.09
Bulgaria,20210103,57.41
Bahrain,20210104,50.93
Bahamas,20210104,56.94
Bosnia and Herzegovina,20210106,42.59
Belarus,20201228,27.78
Belize,20210103,72.22
Bermuda,20210106,53.7
Bolivia,20210103,52.78
Brazil,20201228,
Barbados,20210103,59.26
Brunei,20201221,35.19
Bhutan,20201222,81.94
Botswana,20210108,53.7
Central African Republic,20201222,20.37
Canada,20210108,64.35
Switzerland,20210102,60.19
Chile,20210104,79.17
China,20210107,78.24
Cote d'Ivoire,20210104,15.74
Cameroon,20210104,20.37
Democratic Republic of Congo,20210104,23.15
Congo,20210104,43.52
Colombia,20210103,60.19
Cape Verde,20210104,64.81
Costa Rica,20210102,63.89
Cuba,20210103,56.48
Cyprus,20210104,74.07
Czech Republic,20210101,69.44
Germany,20210106,85.19
Djibouti,20210104,37.96
Dominica,20201221,50.93
Denmark,20210108,67.59
Dominican Republic,20210103,64.81
Algeria,20201231,72.22
Ecuador,20210104,71.3
Egypt,20210102,65.74
Eritrea,20210104,86.11
Spain,20210103,71.3
Estonia,20210101,55.56
Ethiopia,20210102,51.85
Finland,20210108,52.31
Fiji,20210104,41.67
France,20210108,63.89
Faeroe Islands,20210105,36.11
Gabon,20210104,72.22
United Kingdom,20210108,75
Georgia,20210103,84.26
Ghana,20210104,38.89
Guinea,20210104,40.74
Gambia,20210104,45.37
Greece,20210103,84.26
Greenland,20210104,37.04
Guatemala,20210103,52.31
Guam,20210104,62.96
Guyana,20201228,68.52
Honduras,20201214,87.04
Croatia,20201231,41.67
Haiti,20210104,28.7
Hungary,20210102,72.22
Indonesia,20210104,64.35
India,20201220,68.98
Ireland,20210104,69.44
Iran,20201215,70.83
Iraq,20210104,53.7
Iceland,20210103,52.78
Israel,20210105,76.85
Italy,20210103,87.96
Jamaica,20210104,70.37
Jordan,20210104,81.48
Japan,20210104,51.85
Kazakhstan,20210104,68.52
Kenya,20210104,59.26
Kyrgyz Republic,20210102,
Cambodia,20210103,58.33
South Korea,20210104,62.04
Kuwait,20210105,62.96
Laos,20210104,29.63
Lebanon,20210104,87.04
Liberia,20210104,35.19
Libya,20210104,78.7
Sri Lanka,20210103,78.24
Lesotho,20210108,70.37
Lithuania,20210107,74.07
Luxembourg,20210103,83.33
Latvia,20201214,53.7
Macao,20210106,23.15
Morocco,20210102,80.56
Monaco,20201226,71.3
Moldova,20210103,57.41
Madagascar,20210103,37.04
Mexico,20210103,71.76
Mali,20210104,42.59
Malta,20210108,52.78
Myanmar,20201220,75.93
Mongolia,20210104,75.46
Mozambique,20201231,55.56
Mauritania,20210104,51.85
Mauritius,20210104,16.67
Malawi,20210103,48.15
Malaysia,20200503,73.15
Malaysia,20210104,67.13
Namibia,20210104,38.89
Niger,20210104,31.48
Nigeria,20210104,58.33
Nicaragua,20210103,8.33
Netherlands,20210106,84.26
Norway,20210106,64.81
Nepal,20210102,60.19
New Zealand,20210105,22.22
Oman,20210104,37.04
Pakistan,20210107,64.35
Panama,20210104,76.85
Peru,20210104,61.11
Philippines,20210104,55.09
Papua New Guinea,20210102,29.63
Poland,20210104,71.3
Puerto Rico,20210104,64.81
Portugal,20201221,67.59
Paraguay,20210104,52.78
Palestine,20210104,62.5
Qatar,20210104,56.48
Kosovo,20210106,74.07
Romania,20210103,76.85
Russia,20210104,47.69
Rwanda,20201221,55.09
Saudi Arabia,20210104,52.78
Sudan,20201123,28.7
Sudan,20210104,28.7
Senegal,20210104,43.52
Singapore,20210107,56.48
Solomon Islands,20201229,36.11
Sierra Leone,20210104,37.04
El Salvador,20210103,47.22
San Marino,20210103,70.37
Somalia,20210102,37.96
Serbia,20210102,60.19
South Sudan,20210104,47.22
Suriname,20210105,57.41
Slovak Republic,20210102,46.3
Slovenia,20201220,68.52
Sweden,20210108,71.3
Eswatini,20210104,59.26
Seychelles,20210105,34.26
Syria,20210104,54.17
Chad,20210103,61.11
Togo,20210103,68.52
Thailand,20210103,63.89
Tajikistan,20201231,36.11
Turkmenistan,20210104,55.56
Timor-Leste,20210104,60.19
Tonga,20210104,47.22
Trinidad and Tobago,20210102,68.52
Tunisia,20201215,68.52
Turkey,20210103,80.09
Taiwan,20210104,19.44
Tanzania,20201221,6.48
Uganda,20210106,47.22
Ukraine,20210104,61.57
Uruguay,20210102,70.37
United States,20210104,71.76
Uzbekistan,20210103,42.59
Venezuela,20210103,84.26
United States Virgin Islands,20201121,46.3
Vietnam,20210104,55.09
Vanuatu,20201229,30.56
Yemen,20201220,16.67
South Africa,20210103,50
Zambia,20210104,49.07
Zimbabwe,20210104,87.04
